TransporterID	Time	Longitude	Latitude
264162572	7/20/17 8:01	8.553	53.5822
244670509	7/20/17 10:05	9.273	48.749
264162572	7/21/17 7:22	8.553	53.5822
366993070	7/21/17 7:23	8.9924	48.703
264162572	7/21/17 12:08	8.553	53.5822
244670509	7/21/17 14:15	8.9906	48.6819
264162572	7/22/17 8:05	8.553	53.5822
264162572	7/22/17 10:02	8.5545	53.5836
264162572	7/23/17 7:33	8.9697	48.6834
244670509	7/23/17 9:07	9.0009	48.7031
264162572	7/23/17 10:26	9.9347	49.8029
264162572	7/24/17 8:46	9.6222	50.2158
264162572	7/24/17 11:08	9.6694	50.5051
264162572	7/24/17 17:43	9.6727	50.5096
366993070	8/1/17 5:46	9.6727	50.5096
264162572	8/1/17 12:34	9.4505	51.307
244670509	8/1/17 13:20	9.4498	51.308
264162572	8/1/17 13:40	9.4498	51.308
264162572	8/7/17 18:18	-81.5364	31.1121
366993070	8/7/17 18:52	-80.137	26.0914
244670509	8/7/17 21:06	-80.1369	26.0914
